Baton_Rouge,LA,METRO,30.44,-91.13,789638
Port_Huron,MI,LOCAL,42.98,-82.44,96135
Parkersburg,WV,LOCAL,39.26,-81.54,78478
Dover,NH,LOCAL,43.19,-70.88,133206
Davis,CA,LOCAL,38.56,-121.74,208080
Orlando,FL,METRO,28.48,-81.34,2928719
Mayaguez,PR,LOCAL,18.20,-67.14,93426
York,PA,LOCAL,39.97,-76.73,345190
Baltimore,MD,METRO,39.31,-76.61,3764058
Redding,CA,LOCAL,40.57,-122.36,141084
Yuma,AZ,LOCAL,32.60,-114.55,217085
Portland,ME,LOCAL,43.68,-70.27,258586
Austin,MN,LOCAL,43.67,-92.98,25180
The_Villages,FL,LOCAL,28.90,-81.99,126635
Wenatchee,WA,LOCAL,47.44,-120.33,71119
Killeen,TX,LOCAL,31.08,-97.73,461249
Rockwall,TX,LOCAL,32.92,-96.44,82310
Guayama,PR,LOCAL,17.97,-66.11,65343
Zionsville,IN,LOCAL,39.99,-86.32,53194
Danville,VA,LOCAL,36.58,-79.41,40668
Albany,NY,METRO,42.67,-73.80,802626
Parsippany,NJ,LOCAL,40.86,-74.41,216784
Frederick,MD,LOCAL,39.43,-77.41,221874
Del_Rio,TX,LOCAL,29.37,-100.88,35828
Eagle_Pass,TX,LOCAL,28.71,-100.48,38641
Salem,OH,LOCAL,40.90,-80.85,28822
Cedar_City,UT,LOCAL,37.68,-113.10,40448
Corvallis,OR,LOCAL,44.57,-123.28,66090
Springfield,OH,LOCAL,39.93,-83.80,92439
Laramie,WY,LOCAL,41.31,-105.61,32515
Decatur,AL,LOCAL,34.57,-86.99,84131
Navarre,FL,LOCAL,30.42,-86.89,296532
Frankfort,KY,LOCAL,38.19,-84.86,27705
St_Michael,MN,LOCAL,45.20,-93.69,72896
Glassboro,NJ,LOCAL,39.70,-75.11,61542
Bakersfield,CA,METRO,35.35,-119.04,928785
Oak_Harbor,WA,LOCAL,48.30,-122.63,40431
Dodge_City,KS,LOCAL,37.76,-100.02,27186
San_Jose,CA,METRO,37.30,-121.85,2705369
Auburn,NY,LOCAL,42.93,-76.57,26383
Mandeville,LA,LOCAL,30.38,-90.09,225463
Lancaster,PA,METRO,40.04,-76.30,508941
Conway,AR,LOCAL,35.08,-92.47,73279
Worcester,MA,METRO,42.27,-71.81,703289
Roseville,CA,LOCAL,38.77,-121.32,312250
Farmington,NM,LOCAL,36.76,-108.18,67813
Ponca_City,OK,LOCAL,36.72,-97.07,30574
Roswell,NM,LOCAL,33.37,-104.53,47751
Cheyenne,WY,LOCAL,41.13,-104.79,82840
Savannah,GA,LOCAL,32.03,-81.18,371109
Fort_Worth,TX,METRO,32.78,-97.35,1948142
Janesville,WI,LOCAL,42.69,-89.01,108711
Monroe,MI,LOCAL,41.92,-83.38,38474
Evansville,IN,LOCAL,37.99,-87.53,227338
Dothan,AL,LOCAL,31.23,-85.41,69586
Washington,MO,LOCAL,38.55,-91.02,39262
Opelousas,LA,LOCAL,30.53,-92.08,26441
Long_Branch,NJ,LOCAL,40.30,-73.99,174582
Marion,OH,LOCAL,40.60,-83.12,36011
LaGrange,GA,LOCAL,33.03,-85.04,30494
New_City,NY,LOCAL,41.15,-73.99,225779
Aliquippa,PA,LOCAL,40.62,-80.25,31407
Dubuque,IA,LOCAL,42.50,-90.71,67916
Tooele,UT,LOCAL,40.54,-112.31,56072
Chicago,IL,METRO,41.84,-87.69,10795490
Muskegon,MI,LOCAL,43.23,-86.26,199428
Green_Bay,WI,LOCAL,44.51,-87.99,328510
Saginaw,MI,LOCAL,43.42,-83.95,139413
Minot,ND,LOCAL,48.24,-101.28,47834
Idaho_Falls,ID,LOCAL,43.49,-112.04,117729
Lancaster,OH,LOCAL,39.72,-82.60,61695
Grand_Island,NE,LOCAL,40.92,-98.36,51250
Appleton,WI,LOCAL,44.28,-88.39,260401
Jamestown,NY,LOCAL,42.10,-79.24,51413
Lakeland,FL,LOCAL,28.06,-81.95,770861
Overland_Park,KS,LOCAL,38.89,-94.69,630656
Fajardo,PR,LOCAL,18.33,-65.66,75549
Duluth,MN,LOCAL,46.78,-92.14,151855
Charleston,WV,LOCAL,38.35,-81.63,187360
Richmond,VA,METRO,37.53,-77.48,1347754
Brunswick,GA,LOCAL,31.14,-81.47,48430
Modesto,CA,METRO,37.64,-121.00,642851
Columbia,MO,LOCAL,38.95,-92.33,132806
Oxnard,CA,METRO,34.20,-119.18,1049642
Gallup,NM,LOCAL,35.52,-108.74,28459
Waldorf,MD,LOCAL,38.61,-76.92,152079
Syracuse,NY,METRO,43.04,-76.14,449582
Tacoma,WA,LOCAL,47.24,-122.45,761361
Vineland,NJ,LOCAL,39.47,-75.00,119849
Davenport,IA,LOCAL,41.56,-90.61,431841
The_Woodlands,TX,LOCAL,30.17,-95.51,390043
Topeka,KS,LOCAL,39.03,-95.70,145717
La_Crosse,WI,LOCAL,43.82,-91.23,128064
Aberdeen,SD,LOCAL,45.46,-98.47,28315
Fairbanks,AK,LOCAL,64.84,-147.65,103693
Hutchinson,KS,LOCAL,38.07,-97.91,40669
Pottstown,PA,LOCAL,40.25,-75.64,338314
Leesburg,VA,LOCAL,39.11,-77.55,298622
Los_Angeles,CA,METRO,34.11,-118.41,18698185
Bloomington,IN,LOCAL,39.16,-86.53,123265
Eldersburg,MD,LOCAL,39.40,-76.95,111967
Bowling_Green,OH,LOCAL,41.38,-83.65,59771
Carson_City,NV,LOCAL,39.15,-119.75,55244
Panama_City,FL,LOCAL,30.20,-85.60,224832
Gastonia,NC,LOCAL,35.25,-81.19,213141
Ames,IA,LOCAL,42.03,-93.62,72601
Chester,PA,LOCAL,39.85,-75.37,190002
Mission_Viejo,CA,METRO,33.61,-117.66,3635641
Mount_Juliet,TN,LOCAL,36.20,-86.51,77901
Fernley,NV,LOCAL,39.56,-119.19,34874
Hollister,CA,LOCAL,36.86,-121.40,40100
Troy,OH,LOCAL,40.04,-84.22,57374
Macon,GA,LOCAL,32.81,-83.70,153026
Boston,MA,METRO,42.32,-71.09,5993193
Knik-Fairview,AK,LOCAL,61.51,-149.63,63587
Athens,AL,LOCAL,34.78,-86.95,26686
Columbus,GA,LOCAL,32.51,-84.88,249510
Missoula,MT,LOCAL,46.88,-114.02,93723
San_Rafael,CA,LOCAL,37.99,-122.52,212659
Lynchburg,VA,LOCAL,37.40,-79.19,125710
Huntsville,TX,LOCAL,30.70,-95.56,41664
Orange,TX,LOCAL,30.12,-93.76,37018
Waco,TX,LOCAL,31.56,-97.19,239603
San_Juan,PR,METRO,18.40,-66.06,2339518
Holland,MI,LOCAL,42.77,-86.10,160093
Toledo,OH,METRO,41.66,-83.58,551636
Williston,ND,LOCAL,48.18,-103.64,27812
Stockton,CA,METRO,37.98,-121.31,755129
Palm_Coast,FL,METRO,29.54,-81.25,386415
Greenville,NC,LOCAL,35.59,-77.38,139436
Germantown,MD,LOCAL,39.18,-77.26,951503
Newport_News,VA,LOCAL,37.11,-76.52,179582
Springfield,TN,LOCAL,36.49,-86.87,36264
Rapid_City,SD,LOCAL,44.07,-103.22,108096
Kennewick,WA,LOCAL,46.20,-119.17,387337
Waterloo,IA,LOCAL,42.49,-92.35,156016
Chattanooga,TN,METRO,35.07,-85.25,491809
Honolulu,HI,METRO,21.33,-157.85,1430793
Brigham_City,UT,LOCAL,41.50,-112.05,28226
Benton,AR,LOCAL,34.58,-92.57,56923
El_Centro,CA,LOCAL,32.79,-115.56,210521
Jackson,MI,LOCAL,42.24,-84.40,87230
Lakeside,FL,LOCAL,30.14,-81.77,145394
Norwich,CT,LOCAL,41.55,-72.09,238637
Sarasota,FL,METRO,27.34,-82.54,1220775
Madison,WI,METRO,43.08,-89.39,622065
Wichita,KS,METRO,37.69,-97.34,571848
Alamogordo,NM,LOCAL,32.88,-105.96,31635
Auburn,AL,LOCAL,32.61,-85.49,107382
Moscow,ID,LOCAL,46.73,-117.00,25652
Ashtabula,OH,LOCAL,41.88,-80.80,30591
Suffolk,VA,LOCAL,36.70,-76.64,91383
Bend,OR,LOCAL,44.06,-121.31,138819
Akron,OH,METRO,41.08,-81.52,891261
Shreveport,LA,LOCAL,32.47,-93.80,291388
Erie,PA,LOCAL,42.12,-80.07,198834
Charleston,SC,METRO,32.82,-79.97,965418
Cleveland,OH,METRO,41.48,-81.68,2545969
Sanford,NC,LOCAL,35.49,-79.18,29758
Midland,TX,LOCAL,32.02,-102.11,140111
Marquette,MI,LOCAL,46.54,-87.41,27064
Moorhead,MN,LOCAL,46.87,-96.75,43409
Pueblo,CO,LOCAL,38.27,-104.61,175568
Port_Arthur,TX,LOCAL,29.86,-93.93,345341
Belleville,IL,LOCAL,38.52,-89.99,163299
Cincinnati,OH,METRO,39.14,-84.51,2243556
McMinnville,OR,LOCAL,45.21,-123.19,58142
Findlay,OH,LOCAL,41.05,-83.64,41098
Helena,MT,LOCAL,46.60,-112.02,49243
Bay_City,MI,LOCAL,43.59,-83.89,67917
Yakima,WA,LOCAL,46.59,-120.55,180011
Hopkinsville,KY,LOCAL,36.84,-87.48,52747
Cibolo,TX,LOCAL,29.56,-98.21,59791
Galesburg,IL,LOCAL,40.95,-90.38,30405
Clayton,NC,LOCAL,35.66,-78.45,42826
Hammond,LA,LOCAL,30.51,-90.46,82999
Houston,TX,METRO,29.79,-95.39,6412490
Iowa_City,IA,LOCAL,41.66,-91.53,161717
Lubbock,TX,LOCAL,33.57,-101.89,257835
Jacksonville,FL,METRO,30.33,-81.67,1209714
Yukon,OK,LOCAL,35.52,-97.76,77479
Utica,NY,LOCAL,43.10,-75.23,145165
Tulsa,OK,METRO,36.13,-95.90,942791
Bloomington,IL,LOCAL,40.48,-88.97,187409
Gulfport,MS,LOCAL,30.43,-89.07,305793
Kingsport,TN,LOCAL,36.52,-82.55,177929
Seattle,WA,METRO,47.62,-122.32,4942540
Weirton,WV,LOCAL,40.41,-80.57,65447
Grants_Pass,OR,LOCAL,42.43,-123.33,37938
Cave_Spring,VA,LOCAL,37.23,-80.01,48408
Thibodaux,LA,LOCAL,29.79,-90.81,53374
Danville,IL,LOCAL,40.14,-87.61,30969
Fayetteville,NC,LOCAL,35.08,-78.98,361431
Sherman,TX,LOCAL,33.63,-96.62,92061
Nogales,AZ,LOCAL,31.36,-110.93,40130
Asheboro,NC,LOCAL,35.72,-79.81,44234
Tallahassee,FL,LOCAL,30.46,-84.25,273481
New_Haven,CT,METRO,41.31,-72.92,1016891
Terre_Haute,IN,LOCAL,39.47,-87.38,93247
Beaver_Dam,WI,LOCAL,43.47,-88.83,27586
Birmingham,AL,METRO,33.53,-86.80,1106081
Durham,NC,METRO,35.98,-78.90,481699
Carbondale,IL,LOCAL,37.72,-89.22,74209
Longview,WA,LOCAL,46.15,-122.96,80195
Springfield,MO,LOCAL,37.19,-93.29,354103
